Time,cellID,x,y
60,0,127.657,-2.61952
60.1,0,127.863,-2.8039
60.2,0,127.971,-2.9895
60.3,0,128.121,-2.70699
60.4,0,128.326,-2.88907
60.5,0,128.34,-3.13208
60.6,0,128.583,-2.92738
60.7,0,128.782,-2.89539
60.8,0,128.712,-3.21719
60.9,0,128.781,-2.82801
61,0,129.055,-2.94157
61.1,0,128.972,-3.23542
61.2,0,129.152,-2.90053
61.3,0,129.214,-2.70558
61.4,0,129.373,-2.57329
61.5,0,129.312,-2.34781
61.6,0,129.6,-2.36995
61.7,0,129.616,-2.6739
61.8,0,129.866,-2.49513
61.9,0,130.045,-2.64354
62,0,130.211,-2.45006
62.1,0,130.407,-2.3967
62.2,0,130.613,-2.42801
62.3,0,130.697,-2.19234
62.4,0,130.926,-2.19444
62.5,0,131.036,-2.00278
62.6,0,130.978,-2.37498
62.7,0,131.083,-1.99547
62.8,0,131.313,-2.22801
62.9,0,131.274,-2.4774
63,0,131.275,-2.67825
63.1,0,131.565,-2.62825
63.2,0,131.729,-2.75641
63.3,0,131.673,-3.00648
63.4,0,131.962,-2.92758
63.5,0,131.982,-3.19592
63.6,0,132.226,-3.00786
63.7,0,132.424,-2.97394
63.8,0,132.476,-3.25609
63.9,0,132.725,-3.14628
64,0,132.692,-2.86132
64.1,0,132.783,-3.23649
64.2,0,132.84,-2.85932
64.3,0,133.027,-2.74878
64.4,0,133.251,-2.86326
64.5,0,133.397,-2.67517
64.6,0,133.381,-3.02546
64.7,0,133.637,-2.81469
64.8,0,133.842,-2.89357
64.9,0,134.043,-2.88834
65,0,134.235,-2.81907
65.1,0,134.437,-2.85519
65.2,0,134.631,-2.91154
65.3,0,134.632,-3.17431
65.4,0,134.771,-3.32632
65.5,0,134.953,-3.42495
65.6,0,135.105,-3.55443
65.7,0,135.248,-3.28689
65.8,0,135.388,-3.56529
65.9,0,135.52,-3.71661
66,0,135.636,-3.87998
66.1,0,135.735,-3.54743
66.2,0,135.923,-3.45458
66.3,0,135.884,-3.21661
66.4,0,135.977,-3.5963
66.5,0,135.948,-3.20283
66.6,0,135.95,-3.60277
66.7,0,136.148,-3.72732
66.8,0,136.129,-3.35624
66.9,0,136.244,-3.7247
67,0,136.425,-3.43626
67.1,0,136.39,-3.20499
67.2,0,136.674,-3.26902
67.3,0,136.875,-3.26866
67.4,0,137.031,-3.42891
67.5,0,137.027,-3.66549
67.6,0,137.026,-3.27037
67.7,0,137.077,-3.66397
67.8,0,137.087,-3.86444
67.9,0,137.124,-4.06132
68,0,137.299,-4.19389
68.1,0,137.29,-4.41186
68.2,0,137.335,-4.02035
68.3,0,137.596,-4.01382
68.4,0,137.641,-4.31407
68.5,0,137.859,-4.36759
68.6,0,137.957,-4.55587
68.7,0,138.118,-4.27727
68.8,0,138.313,-4.21118
68.9,0,138.517,-4.31866
69,0,138.553,-4.56585
69.1,0,138.557,-4.77251
69.2,0,138.836,-4.72305
69.3,0,138.936,-4.9318
69.4,0,139.013,-5.12062
69.5,0,139.023,-4.73822
69.6,0,139.13,-5.10856
69.7,0,139.354,-4.88045
69.8,0,139.481,-5.13497
69.9,0,139.589,-5.30505
70,0,139.602,-5.51625
70.1,0,139.877,-5.40475
70.2,0,139.937,-5.15558
70.3,0,140.173,-5.15846
70.4,0,140.077,-5.48572
70.5,0,140.364,-5.29825
70.6,0,140.531,-5.18367
70.7,0,140.739,-5.17711
70.8,0,140.9,-5.34476
70.9,0,140.975,-5.54784
71,0,141.171,-5.62934
71.1,0,141.146,-5.86845
71.2,0,141.303,-6.01274
71.3,0,141.34,-6.21608
71.4,0,141.493,-5.88486
71.5,0,141.464,-5.66549
71.6,0,141.682,-5.95915
71.7,0,141.904,-5.92608
71.8,0,141.833,-5.61692
71.9,0,141.981,-5.97192
72,0,142.069,-5.62145
72.1,0,142.272,-5.87549
72.2,0,142.358,-5.57284
72.3,0,142.49,-5.42159
72.4,0,142.516,-5.78604
72.5,0,142.775,-5.60781
72.6,0,142.929,-5.80106
72.7,0,143.045,-5.96951
72.8,0,143.278,-5.87923
72.9,0,143.478,-5.89278
73,0,143.518,-6.15537
73.1,0,143.59,-5.79105
73.2,0,143.679,-6.15388
73.3,0,143.821,-5.82709
73.4,0,143.818,-5.61179
73.5,0,144.081,-5.6079
73.6,0,144.265,-5.5286
73.7,0,144.296,-5.29323
73.8,0,144.554,-5.40479
73.9,0,144.71,-5.5554
74,0,144.858,-5.69148
74.1,0,144.968,-5.39496
74.2,0,145.087,-5.23401
74.3,0,145.114,-5.60065
74.4,0,145.315,-5.69768
74.5,0,145.421,-5.8712
74.6,0,145.657,-5.75311
74.7,0,145.842,-5.86225
74.8,0,146.035,-5.74542
74.9,0,146.05,-5.49489
75,0,146.302,-5.50674
75.1,0,146.492,-5.44213
75.2,0,146.469,-5.18164
75.3,0,146.577,-5.54819
75.4,0,146.657,-5.18513
75.5,0,146.738,-5.54976
75.6,0,146.887,-5.22612
75.7,0,147.014,-5.07129
75.8,0,147.012,-4.85521
75.9,0,147.286,-4.89254
76,0,147.315,-5.18431
76.1,0,147.507,-5.28115
76.2,0,147.727,-5.19058
76.3,0,147.927,-5.22311
76.4,0,147.983,-5.47183
76.5,0,148.23,-5.35664
76.6,0,148.38,-5.53254
76.7,0,148.335,-5.77476
76.8,0,148.616,-5.73452
76.9,0,148.651,-5.98401
77,0,148.783,-6.13708
77.1,0,148.941,-6.26357
77.2,0,149.097,-6.38852
77.3,0,149.291,-6.45522
77.4,0,149.423,-6.21022
77.5,0,149.526,-6.0351
77.6,0,149.639,-5.87013
77.7,0,149.672,-6.2383
77.8,0,149.851,-5.92808
77.9,0,149.785,-6.29966
78,0,150.062,-6.08719
78.1,0,150.136,-6.37409
78.2,0,150.354,-6.41354
78.3,0,150.351,-6.08582
78.4,0,150.617,-6.13373
78.5,0,150.577,-6.44395
78.6,0,150.637,-6.05662
78.7,0,150.718,-5.87275
78.8,0,150.742,-6.26016
78.9,0,151.02,-6.19459
79,0,150.965,-6.48042
79.1,0,151.05,-6.66462
79.2,0,151.152,-6.30238
